Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2073ms | tok/sec: 15,806 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.092175 | lrm: 1.00 | dt: 951ms | tok/sec: 34,442 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.006324 | lrm: 1.00 | dt: 889ms | tok/sec: 36,851 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.720758 | lrm: 1.00 | dt: 901ms | tok/sec: 36,365 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.441546 | lrm: 1.00 | dt: 908ms | tok/sec: 36,075 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.226696 | lrm: 1.00 | dt: 971ms | tok/sec: 33,761 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.037998 | lrm: 1.00 | dt: 879ms | tok/sec: 37,261 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.874396 | lrm: 1.00 | dt: 874ms | tok/sec: 37,486 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.728195 | lrm: 1.00 | dt: 874ms | tok/sec: 37,482 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.589489 | lrm: 1.00 | dt: 871ms | tok/sec: 37,605 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.452215 | lrm: 1.00 | dt: 872ms | tok/sec: 37,560 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.318850 | lrm: 1.00 | dt: 863ms | tok/sec: 37,983 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.202181 | lrm: 1.00 | dt: 865ms | tok/sec: 37,860 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.089097 | lrm: 1.00 | dt: 872ms | tok/sec: 37,586 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.982746 | lrm: 1.00 | dt: 875ms | tok/sec: 37,444 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00015 (1.2%) | loss: 6.890453 | lrm: 1.00 | dt: 868ms | tok/sec: 37,765 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.800087 | lrm: 1.00 | dt: 863ms | tok/sec: 37,969 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.720707 | lrm: 1.00 | dt: 870ms | tok/sec: 37,644 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.655613 | lrm: 1.00 | dt: 864ms | tok/sec: 37,936 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.580803 | lrm: 1.00 | dt: 868ms | tok/sec: 37,756 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.6%) | loss: 6.526710 | lrm: 1.00 | dt: 869ms | tok/sec: 37,691 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (2.9%) | loss: 6.458276 | lrm: 1.00 | dt: 865ms | tok/sec: 37,879 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.2%) | loss: 6.411501 | lrm: 1.00 | dt: 859ms | tok/sec: 38,166 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00023 (3.5%) | loss: 6.357702 | lrm: 1.00 | dt: 872ms | tok/sec: 37,575 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00024 (3.8%) | loss: 6.309148 | lrm: 1.00 | dt: 875ms | tok/sec: 37,466 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.262921 | lrm: 1.00 | dt: 869ms | tok/sec: 37,707 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.3%) | loss: 6.215757 | lrm: 1.00 | dt: 884ms | tok/sec: 37,082 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00027 (4.6%) | loss: 6.186616 | lrm: 1.00 | dt: 890ms | tok/sec: 36,831 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00028 (4.9%) | loss: 6.144181 | lrm: 1.00 | dt: 882ms | tok/sec: 37,165 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.2%) | loss: 6.111156 | lrm: 1.00 | dt: 885ms | tok/sec: 37,009 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.5%) | loss: 6.083704 | lrm: 1.00 | dt: 881ms | tok/sec: 37,209 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00031 (5.8%) | loss: 6.051558 | lrm: 1.00 | dt: 884ms | tok/sec: 37,083 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00032 (6.1%) | loss: 6.020732 | lrm: 1.00 | dt: 882ms | tok/sec: 37,158 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00033 (6.4%) | loss: 5.994587 | lrm: 1.00 | dt: 878ms | tok/sec: 37,307 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00034 (6.7%) | loss: 5.969114 | lrm: 1.00 | dt: 880ms | tok/sec: 37,254 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00035 (7.0%) | loss: 5.945981 | lrm: 1.00 | dt: 877ms | tok/sec: 37,346 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00036 (7.3%) | loss: 5.918373 | lrm: 1.00 | dt: 903ms | tok/sec: 36,277 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00037 (7.6%) | loss: 5.905026 | lrm: 1.00 | dt: 882ms | tok/sec: 37,167 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00038 (7.9%) | loss: 5.883358 | lrm: 1.00 | dt: 880ms | tok/sec: 37,228 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00039 (8.2%) | loss: 5.859151 | lrm: 1.00 | dt: 875ms | tok/sec: 37,458 | mfu: 0.2% | epoch: 1 | remaining: 275s    
