Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2154ms | tok/sec: 15,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.096698 | lrm: 1.00 | dt: 927ms | tok/sec: 35,336 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.014878 | lrm: 1.00 | dt: 948ms | tok/sec: 34,556 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.723616 | lrm: 1.00 | dt: 883ms | tok/sec: 37,119 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.442124 | lrm: 1.00 | dt: 888ms | tok/sec: 36,901 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.223435 | lrm: 1.00 | dt: 883ms | tok/sec: 37,112 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.034376 | lrm: 1.00 | dt: 943ms | tok/sec: 34,759 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.874916 | lrm: 1.00 | dt: 885ms | tok/sec: 37,026 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.723289 | lrm: 1.00 | dt: 882ms | tok/sec: 37,154 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.580048 | lrm: 1.00 | dt: 874ms | tok/sec: 37,481 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.440481 | lrm: 1.00 | dt: 881ms | tok/sec: 37,185 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.304842 | lrm: 1.00 | dt: 1002ms | tok/sec: 32,704 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.187707 | lrm: 1.00 | dt: 874ms | tok/sec: 37,485 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.074185 | lrm: 1.00 | dt: 883ms | tok/sec: 37,106 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.967227 | lrm: 1.00 | dt: 989ms | tok/sec: 33,146 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.875162 | lrm: 1.00 | dt: 880ms | tok/sec: 37,235 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.5%) | loss: 6.785705 | lrm: 1.00 | dt: 877ms | tok/sec: 37,358 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00017 (1.8%) | loss: 6.707514 | lrm: 1.00 | dt: 891ms | tok/sec: 36,784 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.643443 | lrm: 1.00 | dt: 895ms | tok/sec: 36,597 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.569002 | lrm: 1.00 | dt: 886ms | tok/sec: 36,983 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.515402 | lrm: 1.00 | dt: 895ms | tok/sec: 36,624 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.447489 | lrm: 1.00 | dt: 983ms | tok/sec: 33,346 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.4%) | loss: 6.401539 | lrm: 1.00 | dt: 994ms | tok/sec: 32,979 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.7%) | loss: 6.348166 | lrm: 1.00 | dt: 992ms | tok/sec: 33,047 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00024 (4.0%) | loss: 6.300055 | lrm: 1.00 | dt: 890ms | tok/sec: 36,832 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00025 (4.3%) | loss: 6.254281 | lrm: 1.00 | dt: 889ms | tok/sec: 36,859 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00026 (4.6%) | loss: 6.207794 | lrm: 1.00 | dt: 882ms | tok/sec: 37,167 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00027 (4.9%) | loss: 6.178929 | lrm: 1.00 | dt: 892ms | tok/sec: 36,733 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00028 (5.2%) | loss: 6.136254 | lrm: 1.00 | dt: 887ms | tok/sec: 36,924 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.5%) | loss: 6.103174 | lrm: 1.00 | dt: 888ms | tok/sec: 36,921 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.8%) | loss: 6.076187 | lrm: 1.00 | dt: 889ms | tok/sec: 36,857 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (6.1%) | loss: 6.045024 | lrm: 1.00 | dt: 889ms | tok/sec: 36,844 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.4%) | loss: 6.014494 | lrm: 1.00 | dt: 888ms | tok/sec: 36,903 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00033 (6.7%) | loss: 5.988600 | lrm: 1.00 | dt: 1014ms | tok/sec: 32,310 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00034 (7.0%) | loss: 5.963730 | lrm: 1.00 | dt: 979ms | tok/sec: 33,471 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00035 (7.3%) | loss: 5.940729 | lrm: 1.00 | dt: 878ms | tok/sec: 37,304 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00036 (7.6%) | loss: 5.913355 | lrm: 1.00 | dt: 877ms | tok/sec: 37,353 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00037 (7.9%) | loss: 5.900597 | lrm: 1.00 | dt: 887ms | tok/sec: 36,959 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00038 (8.2%) | loss: 5.879055 | lrm: 1.00 | dt: 890ms | tok/sec: 36,833 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00039 (8.5%) | loss: 5.855227 | lrm: 1.00 | dt: 1039ms | tok/sec: 31,530 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00040 (8.9%) | loss: 5.836877 | lrm: 1.00 | dt: 886ms | tok/sec: 36,975 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00041 (9.2%) | loss: 5.815473 | lrm: 1.00 | dt: 889ms | tok/sec: 36,850 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00042 (9.5%) | loss: 5.798884 | lrm: 1.00 | dt: 884ms | tok/sec: 37,055 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00043 (9.8%) | loss: 5.775044 | lrm: 1.00 | dt: 889ms | tok/sec: 36,857 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00044 (10.0%) | loss: 5.750326 | lrm: 1.00 | dt: 888ms | tok/sec: 36,899 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00045 (10.3%) | loss: 5.733066 | lrm: 1.00 | dt: 887ms | tok/sec: 36,927 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00046 (10.6%) | loss: 5.705413 | lrm: 1.00 | dt: 923ms | tok/sec: 35,488 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00047 (10.9%) | loss: 5.688598 | lrm: 1.00 | dt: 887ms | tok/sec: 36,956 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00048 (11.2%) | loss: 5.670880 | lrm: 1.00 | dt: 885ms | tok/sec: 37,044 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00049 (11.5%) | loss: 5.660462 | lrm: 1.00 | dt: 889ms | tok/sec: 36,847 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00050 (11.8%) | loss: 5.640242 | lrm: 1.00 | dt: 889ms | tok/sec: 36,870 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00051 (12.1%) | loss: 5.630781 | lrm: 1.00 | dt: 887ms | tok/sec: 36,951 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00052 (12.4%) | loss: 5.619440 | lrm: 1.00 | dt: 881ms | tok/sec: 37,173 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00053 (12.7%) | loss: 5.601424 | lrm: 1.00 | dt: 899ms | tok/sec: 36,446 | mfu: 0.2% | epoch: 1 | remaining: 261s    
step 00054 (13.0%) | loss: 5.583504 | lrm: 1.00 | dt: 885ms | tok/sec: 37,019 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00055 (13.3%) | loss: 5.569947 | lrm: 1.00 | dt: 883ms | tok/sec: 37,090 | mfu: 0.2% | epoch: 1 | remaining: 259s    
step 00056 (13.6%) | loss: 5.552323 | lrm: 1.00 | dt: 891ms | tok/sec: 36,772 | mfu: 0.2% | epoch: 1 | remaining: 258s    
step 00057 (13.9%) | loss: 5.531351 | lrm: 1.00 | dt: 956ms | tok/sec: 34,289 | mfu: 0.2% | epoch: 1 | remaining: 257s    
step 00058 (14.2%) | loss: 5.527690 | lrm: 1.00 | dt: 883ms | tok/sec: 37,102 | mfu: 0.2% | epoch: 1 | remaining: 256s    
step 00059 (14.5%) | loss: 5.501238 | lrm: 1.00 | dt: 884ms | tok/sec: 37,077 | mfu: 0.2% | epoch: 1 | remaining: 256s    
step 00060 (14.8%) | loss: 5.490766 | lrm: 1.00 | dt: 886ms | tok/sec: 36,966 | mfu: 0.2% | epoch: 1 | remaining: 255s    
step 00061 (15.1%) | loss: 5.480828 | lrm: 1.00 | dt: 894ms | tok/sec: 36,669 | mfu: 0.2% | epoch: 1 | remaining: 254s    
step 00062 (15.4%) | loss: 5.467878 | lrm: 1.00 | dt: 886ms | tok/sec: 36,968 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00063 (15.7%) | loss: 5.457390 | lrm: 1.00 | dt: 898ms | tok/sec: 36,507 | mfu: 0.2% | epoch: 1 | remaining: 252s    
step 00064 (16.0%) | loss: 5.441981 | lrm: 1.00 | dt: 899ms | tok/sec: 36,463 | mfu: 0.2% | epoch: 1 | remaining: 251s    
step 00065 (16.3%) | loss: 5.441866 | lrm: 1.00 | dt: 887ms | tok/sec: 36,929 | mfu: 0.2% | epoch: 1 | remaining: 250s    
