Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2214ms | tok/sec: 14,797 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.087692 | lrm: 1.00 | dt: 1086ms | tok/sec: 30,181 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.012658 | lrm: 1.00 | dt: 902ms | tok/sec: 36,328 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.738259 | lrm: 1.00 | dt: 898ms | tok/sec: 36,472 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.456840 | lrm: 1.00 | dt: 915ms | tok/sec: 35,807 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.240878 | lrm: 1.00 | dt: 898ms | tok/sec: 36,508 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.051271 | lrm: 1.00 | dt: 907ms | tok/sec: 36,121 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.883311 | lrm: 1.00 | dt: 909ms | tok/sec: 36,049 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.729013 | lrm: 1.00 | dt: 914ms | tok/sec: 35,858 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.600766 | lrm: 1.00 | dt: 932ms | tok/sec: 35,176 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.467598 | lrm: 1.00 | dt: 895ms | tok/sec: 36,616 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.332538 | lrm: 1.00 | dt: 889ms | tok/sec: 36,867 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.218956 | lrm: 1.00 | dt: 897ms | tok/sec: 36,528 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.111522 | lrm: 1.00 | dt: 975ms | tok/sec: 33,618 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.006452 | lrm: 1.00 | dt: 894ms | tok/sec: 36,638 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.914395 | lrm: 1.00 | dt: 902ms | tok/sec: 36,327 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.5%) | loss: 6.825535 | lrm: 1.00 | dt: 889ms | tok/sec: 36,859 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 6.749367 | lrm: 1.00 | dt: 899ms | tok/sec: 36,441 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.683883 | lrm: 1.00 | dt: 878ms | tok/sec: 37,329 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.609033 | lrm: 1.00 | dt: 909ms | tok/sec: 36,061 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.555002 | lrm: 1.00 | dt: 889ms | tok/sec: 36,847 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.487874 | lrm: 1.00 | dt: 877ms | tok/sec: 37,366 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.3%) | loss: 6.440563 | lrm: 1.00 | dt: 896ms | tok/sec: 36,587 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.6%) | loss: 6.387406 | lrm: 1.00 | dt: 885ms | tok/sec: 37,012 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00024 (3.9%) | loss: 6.340119 | lrm: 1.00 | dt: 887ms | tok/sec: 36,953 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00025 (4.2%) | loss: 6.294421 | lrm: 1.00 | dt: 927ms | tok/sec: 35,355 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.5%) | loss: 6.246799 | lrm: 1.00 | dt: 906ms | tok/sec: 36,167 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00027 (4.8%) | loss: 6.217606 | lrm: 1.00 | dt: 905ms | tok/sec: 36,217 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00028 (5.1%) | loss: 6.173966 | lrm: 1.00 | dt: 889ms | tok/sec: 36,862 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.4%) | loss: 6.139646 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,712 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.7%) | loss: 6.111510 | lrm: 1.00 | dt: 892ms | tok/sec: 36,726 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (6.0%) | loss: 6.079171 | lrm: 1.00 | dt: 881ms | tok/sec: 37,179 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.3%) | loss: 6.048707 | lrm: 1.00 | dt: 916ms | tok/sec: 35,792 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00033 (6.6%) | loss: 6.021733 | lrm: 1.00 | dt: 909ms | tok/sec: 36,035 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00034 (6.9%) | loss: 5.995663 | lrm: 1.00 | dt: 908ms | tok/sec: 36,073 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00035 (7.2%) | loss: 5.972382 | lrm: 1.00 | dt: 936ms | tok/sec: 35,009 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00036 (7.6%) | loss: 5.944462 | lrm: 1.00 | dt: 913ms | tok/sec: 35,890 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00037 (7.9%) | loss: 5.930804 | lrm: 1.00 | dt: 998ms | tok/sec: 32,845 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00038 (8.2%) | loss: 5.908884 | lrm: 1.00 | dt: 901ms | tok/sec: 36,351 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00039 (8.5%) | loss: 5.885400 | lrm: 1.00 | dt: 902ms | tok/sec: 36,336 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00040 (8.8%) | loss: 5.866751 | lrm: 1.00 | dt: 890ms | tok/sec: 36,805 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00041 (9.1%) | loss: 5.844022 | lrm: 1.00 | dt: 888ms | tok/sec: 36,900 | mfu: 0.2% | epoch: 1 | remaining: 272s    
