Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1984ms | tok/sec: 16,515 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083316 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,348 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.024548 | lrm: 1.00 | dt: 943ms | tok/sec: 34,762 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.771177 | lrm: 1.00 | dt: 885ms | tok/sec: 37,030 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.489306 | lrm: 1.00 | dt: 895ms | tok/sec: 36,603 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.270846 | lrm: 1.00 | dt: 886ms | tok/sec: 36,968 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.085168 | lrm: 1.00 | dt: 925ms | tok/sec: 35,431 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.924841 | lrm: 1.00 | dt: 882ms | tok/sec: 37,166 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.778829 | lrm: 1.00 | dt: 887ms | tok/sec: 36,946 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.640383 | lrm: 1.00 | dt: 884ms | tok/sec: 37,049 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.515095 | lrm: 1.00 | dt: 893ms | tok/sec: 36,699 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.383467 | lrm: 1.00 | dt: 884ms | tok/sec: 37,080 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.268205 | lrm: 1.00 | dt: 892ms | tok/sec: 36,744 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.157839 | lrm: 1.00 | dt: 894ms | tok/sec: 36,643 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.050800 | lrm: 1.00 | dt: 902ms | tok/sec: 36,311 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.959422 | lrm: 1.00 | dt: 892ms | tok/sec: 36,731 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.871327 | lrm: 1.00 | dt: 886ms | tok/sec: 36,983 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 6.792271 | lrm: 1.00 | dt: 899ms | tok/sec: 36,461 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.725356 | lrm: 1.00 | dt: 924ms | tok/sec: 35,452 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.650467 | lrm: 1.00 | dt: 903ms | tok/sec: 36,301 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.595179 | lrm: 1.00 | dt: 897ms | tok/sec: 36,540 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.527276 | lrm: 1.00 | dt: 898ms | tok/sec: 36,510 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.3%) | loss: 6.478710 | lrm: 1.00 | dt: 890ms | tok/sec: 36,802 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.6%) | loss: 6.425575 | lrm: 1.00 | dt: 1318ms | tok/sec: 24,862 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00024 (4.0%) | loss: 6.378001 | lrm: 1.00 | dt: 899ms | tok/sec: 36,460 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00025 (4.3%) | loss: 6.332240 | lrm: 1.00 | dt: 966ms | tok/sec: 33,916 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00026 (4.6%) | loss: 6.283521 | lrm: 1.00 | dt: 886ms | tok/sec: 36,990 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00027 (4.9%) | loss: 6.254290 | lrm: 1.00 | dt: 885ms | tok/sec: 37,028 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00028 (5.2%) | loss: 6.210421 | lrm: 1.00 | dt: 897ms | tok/sec: 36,518 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00029 (5.5%) | loss: 6.175961 | lrm: 1.00 | dt: 899ms | tok/sec: 36,430 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00030 (5.8%) | loss: 6.147418 | lrm: 1.00 | dt: 895ms | tok/sec: 36,604 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (6.1%) | loss: 6.115158 | lrm: 1.00 | dt: 885ms | tok/sec: 37,041 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.4%) | loss: 6.085064 | lrm: 1.00 | dt: 982ms | tok/sec: 33,379 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00033 (6.8%) | loss: 6.057805 | lrm: 1.00 | dt: 889ms | tok/sec: 36,840 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00034 (7.1%) | loss: 6.030722 | lrm: 1.00 | dt: 893ms | tok/sec: 36,679 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00035 (7.4%) | loss: 6.006464 | lrm: 1.00 | dt: 992ms | tok/sec: 33,041 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00036 (7.7%) | loss: 5.977708 | lrm: 1.00 | dt: 893ms | tok/sec: 36,684 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00037 (8.0%) | loss: 5.963309 | lrm: 1.00 | dt: 929ms | tok/sec: 35,283 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00038 (8.3%) | loss: 5.940915 | lrm: 1.00 | dt: 941ms | tok/sec: 34,827 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00039 (8.6%) | loss: 5.916888 | lrm: 1.00 | dt: 891ms | tok/sec: 36,790 | mfu: 0.2% | epoch: 1 | remaining: 273s    
