Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 3227ms | tok/sec: 10,152 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083187 | lrm: 1.00 | dt: 1029ms | tok/sec: 31,848 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.002949 | lrm: 1.00 | dt: 1007ms | tok/sec: 32,526 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.733080 | lrm: 1.00 | dt: 890ms | tok/sec: 36,797 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.456474 | lrm: 1.00 | dt: 950ms | tok/sec: 34,495 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.243389 | lrm: 1.00 | dt: 943ms | tok/sec: 34,746 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.057006 | lrm: 1.00 | dt: 955ms | tok/sec: 34,305 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.893993 | lrm: 1.00 | dt: 898ms | tok/sec: 36,508 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.749882 | lrm: 1.00 | dt: 905ms | tok/sec: 36,223 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.613546 | lrm: 1.00 | dt: 887ms | tok/sec: 36,945 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.481438 | lrm: 1.00 | dt: 889ms | tok/sec: 36,848 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.349430 | lrm: 1.00 | dt: 879ms | tok/sec: 37,262 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.236957 | lrm: 1.00 | dt: 879ms | tok/sec: 37,274 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.126907 | lrm: 1.00 | dt: 876ms | tok/sec: 37,386 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.019784 | lrm: 1.00 | dt: 866ms | tok/sec: 37,851 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.926866 | lrm: 1.00 | dt: 874ms | tok/sec: 37,504 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.837341 | lrm: 1.00 | dt: 877ms | tok/sec: 37,360 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 6.758898 | lrm: 1.00 | dt: 924ms | tok/sec: 35,478 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.694456 | lrm: 1.00 | dt: 899ms | tok/sec: 36,444 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.620103 | lrm: 1.00 | dt: 880ms | tok/sec: 37,230 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.565117 | lrm: 1.00 | dt: 912ms | tok/sec: 35,931 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.496703 | lrm: 1.00 | dt: 1256ms | tok/sec: 26,087 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00022 (3.4%) | loss: 6.449954 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,371 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.7%) | loss: 6.395109 | lrm: 1.00 | dt: 1144ms | tok/sec: 28,645 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00024 (4.1%) | loss: 6.346176 | lrm: 1.00 | dt: 1196ms | tok/sec: 27,397 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00025 (4.5%) | loss: 6.299631 | lrm: 1.00 | dt: 1047ms | tok/sec: 31,287 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00026 (4.9%) | loss: 6.251109 | lrm: 1.00 | dt: 987ms | tok/sec: 33,201 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00027 (5.2%) | loss: 6.221411 | lrm: 1.00 | dt: 1007ms | tok/sec: 32,541 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00028 (5.5%) | loss: 6.177575 | lrm: 1.00 | dt: 991ms | tok/sec: 33,051 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00029 (5.8%) | loss: 6.142796 | lrm: 1.00 | dt: 1011ms | tok/sec: 32,397 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00030 (6.2%) | loss: 6.113821 | lrm: 1.00 | dt: 1069ms | tok/sec: 30,639 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00031 (6.5%) | loss: 6.080752 | lrm: 1.00 | dt: 1112ms | tok/sec: 29,471 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00032 (6.9%) | loss: 6.049132 | lrm: 1.00 | dt: 966ms | tok/sec: 33,922 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00033 (7.2%) | loss: 6.020852 | lrm: 1.00 | dt: 981ms | tok/sec: 33,389 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00034 (7.6%) | loss: 5.993773 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,752 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00035 (7.9%) | loss: 5.969687 | lrm: 1.00 | dt: 966ms | tok/sec: 33,932 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00036 (8.2%) | loss: 5.940589 | lrm: 1.00 | dt: 1177ms | tok/sec: 27,848 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00037 (8.6%) | loss: 5.926026 | lrm: 1.00 | dt: 1114ms | tok/sec: 29,405 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00038 (9.0%) | loss: 5.902939 | lrm: 1.00 | dt: 1918ms | tok/sec: 17,082 | mfu: 0.1% | epoch: 1 | remaining: 271s    
