Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 6162ms | tok/sec: 5,317 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083217 | lrm: 1.00 | dt: 1392ms | tok/sec: 23,545 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.009379 | lrm: 1.00 | dt: 943ms | tok/sec: 34,745 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.742776 | lrm: 1.00 | dt: 888ms | tok/sec: 36,890 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.465041 | lrm: 1.00 | dt: 893ms | tok/sec: 36,679 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.251713 | lrm: 1.00 | dt: 892ms | tok/sec: 36,751 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.067327 | lrm: 1.00 | dt: 884ms | tok/sec: 37,079 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.907334 | lrm: 1.00 | dt: 983ms | tok/sec: 33,348 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.763012 | lrm: 1.00 | dt: 886ms | tok/sec: 36,997 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.624679 | lrm: 1.00 | dt: 887ms | tok/sec: 36,941 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.496780 | lrm: 1.00 | dt: 891ms | tok/sec: 36,764 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.365822 | lrm: 1.00 | dt: 888ms | tok/sec: 36,910 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.251601 | lrm: 1.00 | dt: 894ms | tok/sec: 36,653 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.140572 | lrm: 1.00 | dt: 977ms | tok/sec: 33,525 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.033208 | lrm: 1.00 | dt: 961ms | tok/sec: 34,105 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.940534 | lrm: 1.00 | dt: 891ms | tok/sec: 36,760 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.5%) | loss: 6.852288 | lrm: 1.00 | dt: 890ms | tok/sec: 36,809 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00017 (1.8%) | loss: 6.775548 | lrm: 1.00 | dt: 889ms | tok/sec: 36,854 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.708891 | lrm: 1.00 | dt: 890ms | tok/sec: 36,827 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.633496 | lrm: 1.00 | dt: 892ms | tok/sec: 36,735 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.578461 | lrm: 1.00 | dt: 972ms | tok/sec: 33,720 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.510449 | lrm: 1.00 | dt: 892ms | tok/sec: 36,736 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.3%) | loss: 6.462072 | lrm: 1.00 | dt: 982ms | tok/sec: 33,375 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.7%) | loss: 6.408237 | lrm: 1.00 | dt: 888ms | tok/sec: 36,897 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00024 (4.0%) | loss: 6.359768 | lrm: 1.00 | dt: 982ms | tok/sec: 33,377 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00025 (4.3%) | loss: 6.313638 | lrm: 1.00 | dt: 913ms | tok/sec: 35,908 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00026 (4.6%) | loss: 6.265076 | lrm: 1.00 | dt: 896ms | tok/sec: 36,552 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00027 (4.9%) | loss: 6.235507 | lrm: 1.00 | dt: 887ms | tok/sec: 36,946 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00028 (5.2%) | loss: 6.191354 | lrm: 1.00 | dt: 885ms | tok/sec: 37,009 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.5%) | loss: 6.155983 | lrm: 1.00 | dt: 888ms | tok/sec: 36,893 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.8%) | loss: 6.127038 | lrm: 1.00 | dt: 890ms | tok/sec: 36,835 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (6.1%) | loss: 6.094086 | lrm: 1.00 | dt: 886ms | tok/sec: 36,975 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.4%) | loss: 6.062650 | lrm: 1.00 | dt: 923ms | tok/sec: 35,516 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00033 (6.7%) | loss: 6.035025 | lrm: 1.00 | dt: 892ms | tok/sec: 36,737 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00034 (7.0%) | loss: 6.008271 | lrm: 1.00 | dt: 901ms | tok/sec: 36,378 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00035 (7.3%) | loss: 5.983708 | lrm: 1.00 | dt: 974ms | tok/sec: 33,639 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00036 (7.6%) | loss: 5.954746 | lrm: 1.00 | dt: 891ms | tok/sec: 36,776 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00037 (7.9%) | loss: 5.940294 | lrm: 1.00 | dt: 892ms | tok/sec: 36,749 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00038 (8.2%) | loss: 5.917646 | lrm: 1.00 | dt: 967ms | tok/sec: 33,883 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00039 (8.5%) | loss: 5.893174 | lrm: 1.00 | dt: 895ms | tok/sec: 36,597 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00040 (8.8%) | loss: 5.874503 | lrm: 1.00 | dt: 890ms | tok/sec: 36,824 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00041 (9.1%) | loss: 5.851356 | lrm: 1.00 | dt: 929ms | tok/sec: 35,265 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00042 (9.4%) | loss: 5.833662 | lrm: 1.00 | dt: 895ms | tok/sec: 36,605 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00043 (9.7%) | loss: 5.808922 | lrm: 1.00 | dt: 898ms | tok/sec: 36,495 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00044 (10.0%) | loss: 5.783615 | lrm: 1.00 | dt: 888ms | tok/sec: 36,881 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00045 (10.3%) | loss: 5.765370 | lrm: 1.00 | dt: 895ms | tok/sec: 36,602 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00046 (10.6%) | loss: 5.737699 | lrm: 1.00 | dt: 980ms | tok/sec: 33,421 | mfu: 0.2% | epoch: 1 | remaining: 267s    
