Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1874ms | tok/sec: 17,486 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083300 | lrm: 1.00 | dt: 888ms | tok/sec: 36,911 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.024884 | lrm: 1.00 | dt: 852ms | tok/sec: 38,445 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.770266 | lrm: 1.00 | dt: 913ms | tok/sec: 35,896 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.488367 | lrm: 1.00 | dt: 848ms | tok/sec: 38,641 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.270324 | lrm: 1.00 | dt: 842ms | tok/sec: 38,939 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.084555 | lrm: 1.00 | dt: 843ms | tok/sec: 38,860 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.924145 | lrm: 1.00 | dt: 839ms | tok/sec: 39,050 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.777225 | lrm: 1.00 | dt: 954ms | tok/sec: 34,338 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.638776 | lrm: 1.00 | dt: 840ms | tok/sec: 38,995 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.512980 | lrm: 1.00 | dt: 838ms | tok/sec: 39,086 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.381295 | lrm: 1.00 | dt: 837ms | tok/sec: 39,172 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.266269 | lrm: 1.00 | dt: 850ms | tok/sec: 38,554 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.156590 | lrm: 1.00 | dt: 845ms | tok/sec: 38,781 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.050850 | lrm: 1.00 | dt: 840ms | tok/sec: 39,024 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.959496 | lrm: 1.00 | dt: 838ms | tok/sec: 39,098 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.870527 | lrm: 1.00 | dt: 836ms | tok/sec: 39,201 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.791694 | lrm: 1.00 | dt: 838ms | tok/sec: 39,123 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.725130 | lrm: 1.00 | dt: 840ms | tok/sec: 38,987 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 6.650245 | lrm: 1.00 | dt: 836ms | tok/sec: 39,173 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.595176 | lrm: 1.00 | dt: 840ms | tok/sec: 39,003 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.527725 | lrm: 1.00 | dt: 836ms | tok/sec: 39,180 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.479508 | lrm: 1.00 | dt: 836ms | tok/sec: 39,173 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.426646 | lrm: 1.00 | dt: 842ms | tok/sec: 38,937 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00024 (3.6%) | loss: 6.378885 | lrm: 1.00 | dt: 842ms | tok/sec: 38,898 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00025 (3.9%) | loss: 6.333348 | lrm: 1.00 | dt: 838ms | tok/sec: 39,120 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.284639 | lrm: 1.00 | dt: 837ms | tok/sec: 39,172 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00027 (4.5%) | loss: 6.255538 | lrm: 1.00 | dt: 836ms | tok/sec: 39,202 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.211549 | lrm: 1.00 | dt: 840ms | tok/sec: 39,017 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00029 (5.0%) | loss: 6.177230 | lrm: 1.00 | dt: 897ms | tok/sec: 36,536 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00030 (5.3%) | loss: 6.148819 | lrm: 1.00 | dt: 836ms | tok/sec: 39,217 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.116448 | lrm: 1.00 | dt: 843ms | tok/sec: 38,887 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.086329 | lrm: 1.00 | dt: 930ms | tok/sec: 35,234 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.059077 | lrm: 1.00 | dt: 836ms | tok/sec: 39,203 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.032019 | lrm: 1.00 | dt: 835ms | tok/sec: 39,248 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.007769 | lrm: 1.00 | dt: 836ms | tok/sec: 39,173 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00036 (7.0%) | loss: 5.978863 | lrm: 1.00 | dt: 848ms | tok/sec: 38,660 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 5.964427 | lrm: 1.00 | dt: 945ms | tok/sec: 34,665 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 5.941935 | lrm: 1.00 | dt: 847ms | tok/sec: 38,675 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 5.917953 | lrm: 1.00 | dt: 984ms | tok/sec: 33,299 | mfu: 0.2% | epoch: 1 | remaining: 275s    
